id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jumlah_banjir,satuan,tahun
244,32,JAWA BARAT,3201,KABUPATEN BOGOR,75,KEJADIAN,2021
245,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,27,KEJADIAN,2021
246,32,JAWA BARAT,3203,KABUPATEN CIANJUR,8,KEJADIAN,2021
247,32,JAWA BARAT,3204,KABUPATEN BANDUNG,50,KEJADIAN,2021
248,32,JAWA BARAT,3205,KABUPATEN GARUT,14,KEJADIAN,2021
249,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,1,KEJADIAN,2021
250,32,JAWA BARAT,3207,KABUPATEN CIAMIS,12,KEJADIAN,2021
251,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,4,KEJADIAN,2021
252,32,JAWA BARAT,3209,KABUPATEN CIREBON,9,KEJADIAN,2021
253,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,9,KEJADIAN,2021
254,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,14,KEJADIAN,2021
255,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,10,KEJADIAN,2021
256,32,JAWA BARAT,3213,KABUPATEN SUBANG,16,KEJADIAN,2021
257,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,3,KEJADIAN,2021
258,32,JAWA BARAT,3215,KABUPATEN KARAWANG,15,KEJADIAN,2021
259,32,JAWA BARAT,3216,KABUPATEN BEKASI,9,KEJADIAN,2021
260,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,10,KEJADIAN,2021
261,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,0,KEJADIAN,2021
262,32,JAWA BARAT,3271,KOTA BOGOR,18,KEJADIAN,2021
263,32,JAWA BARAT,3272,KOTA SUKABUMI,2,KEJADIAN,2021
264,32,JAWA BARAT,3273,KOTA BANDUNG,2,KEJADIAN,2021
265,32,JAWA BARAT,3274,KOTA CIREBON,1,KEJADIAN,2021
266,32,JAWA BARAT,3275,KOTA BEKASI,14,KEJADIAN,2021
267,32,JAWA BARAT,3276,KOTA DEPOK,3,KEJADIAN,2021
268,32,JAWA BARAT,3277,KOTA CIMAHI,6,KEJADIAN,2021
269,32,JAWA BARAT,3278,KOTA TASIKMALAYA,2,KEJADIAN,2021
270,32,JAWA BARAT,3279,KOTA BANJAR,1,KEJADIAN,2021
